option_name,upcharge,description
"Open Pilot",1300,"Add adaptive cruise control, lane centering, and forward collision warning to your Aptera. While engaged, driver monitoring ensures the driver is paying attention."
"Camping Kit",600,Integrated tent and rear awning gets you out in the wild but keeps you cozy inside. Also includes tail cover and step stool for easy entry.
"Pet Kit",300,"Pet divider with ability to safely secure your friend during driving, accessories including water bowl, bags, and rear cover and ladder."
"Off-Road Kit",1000,More ground clearance and tougher wheel covers so you can take your Aptera off-road.
